store_address,latitude,longitude
"Subway at 3174 Mt Pleasant St NW,",38.9308,-77.0384
"Subway at 6094 Greenbelt Road, Beltway Plaza",38.9992,-76.9084
"Subway at 7555 Greenbelt Rd, Store #12, Greenway Shopping Ctr",38.9939,-76.8779
"Subway at 1010 Massachusetts Ave. NW,",38.9034,-77.0267
"Subway at 1100 New York Ave NW,",38.8999,-77.0272
"Subway at 1444 I St NW,",38.901,-77.0328
"Subway at 1015 15th St NW,",38.9032,-77.0342
"Subway at 901 E Street NW, Suite 104",38.8966,-77.0243
"Subway at 555 13th Street NW, Columbia Square",38.8968,-77.0284
"Subway at 2010 P St NW,",38.9095,-77.0454
"Subway at 1129 18th St NW, Suite 101A",38.9049,-77.0416
"Subway at 10121 Colesville Road, Unit #10, Woodmoor Shopping Center",39.0206,-77.0119
"Subway at 1300 Pennsylvania Ave NW, Food Court #105, The Ronald Reagan Building",38.8945,-77.0301
"Subway at 1666 K St NW,",38.902,-77.0382
"Subway at 1712 L St NW, Suite 112",38.9038,-77.0401
"Subway at 444 WMC Dr, Ste 101, College Square",39.5866,-77.0115
"Subway at 74 W Main St, Tevis Oil",39.577,-76.9983
"Subway at 1 Magna Way, Airport Road Shell",39.6055,-76.9987
"Subway at 291 Stoner Ave, 1st Floor Dixon Bldg, Carroll Hospital Center Medica",39.5585,-76.9879
"Subway at 535 Jermor Lane, 140 Village Shopping Center",39.564,-76.9768
"Subway at 5151 Allendale La, Evapco Inc Mfg Plnt",39.6522,-77.1795
"Subway at 251 Baltimore St E, Exxon Gas Station C-Store",39.6559,-77.1706
"Subway at 410 West King St,",39.7422,-77.0968
"Subway at 101 Silo Hill Rd, Silo Hill Market Center",39.7023,-77.318
"Subway at 1863 Gettysburg Village Dr, Suite 1050, The Outlet Shoppes Gettysburg",39.7924,-77.2021
"Subway at 3782 Centennial Rd, Centennial Commons S/C",39.7993,-77.03
"Subway at 251 Baltimore St E, Exxon Gas Station C-Store",39.6559,-77.1706
"Subway at 14 Carlisle St,",39.8008,-76.9839
"Subway at 4910 Fairfield Ave, Sunoco Gas Station/C-Store",39.7798,-77.3784
"Subway at 224 North Church St, Suite K, Thurmont Shopping Center",39.6279,-77.4097
"Subway at 22507 Jefferson Blvd, AC & T Foodmart",39.6421,-77.5855
"Subway at 12751 Washington Township Blvd, Wal-Mart #3633",39.7422,-77.528
"Subway at 11055 Buchanan Trail East, Exxon Gas Station/AC &T C-Str.",39.7397,-77.5345
"Subway at 2421 Monocacy Blvd, Wal-Mart #2756",39.4491,-77.3793
"Subway at 8415 Progress Drive, Suite A, Riverside Technology Park",39.4381,-77.3761
"Subway at 177 C Thomas Johnson Dr,",39.4412,-77.4078
"Subway at 913 W 7th Street,",39.4269,-77.4158
"Subway at 1405 Porter Street, Fort Detrick Personel Only, AAFES PX Foodcourt",39.4366,-77.4251
"Subway at 69 South Market Street, First Floor",39.4147,-77.4112
"Subway at 2284 Baltimore Blvd, Jiffy Mart",39.5189,-76.913
"Subway at 3949 Sykesville Road, Citgo Gas Station/C-Store",39.4652,-76.9347
"Subway at 4821 Butler Road,",39.4761,-76.8175
"Subway at 208 Ridgeville Blvd, TCBY/Manhattan Bagel/Subway",39.3636,-77.1571
"Subway at 703 Lisbon Center Drive, Suite A",39.3504,-77.0687
"Subway at 11791 Fingerboard Road, BP Gas Station/C-Store",39.3433,-77.2546
"Subway at 9870 B Main St,",39.2878,-77.2029
"Subway at 2480 Roxbury Mills Road, Glenwood Station",39.3027,-77.0206
"Subway at 5959 Exchange Drive, Rt 26 in Liberty Exchange Cntr",39.4151,-76.9794
"Subway at 1912 Liberty Rd, Country Village",39.3985,-76.9314
"Subway at 6400 Ridge Road, Wal-Mart #2436",39.3967,-76.9337
"Subway at 11 W Railroad St,",39.8322,-77.2314
"Subway at 731 Old Harrisburg Rd, Food Service Unit, HACC- Central PA Comm College",39.8399,-77.2237
"Subway at 35A Camp Letterman Dr, Peebles Plaza",39.8436,-77.1997
"Subway at 12 Deatrick Commons, Sunoco Gas Station/C-Store",39.8257,-77.2549
"Subway at 913 W 7th Street,",39.4269,-77.4158
"Subway at 2060 Yellow Springs Road, Suite 101, Walnut Ridge Center",39.4416,-77.438
"Subway at 6079 Spring Ridge Parkway, Spring Ridge Shopping Center",39.3986,-77.3476
"Subway at 5500 Buckeystown Pk, Unit 0810, Francis Scott Key Mall",39.3826,-77.4056
"Subway at 7400 Guilford Drive, Wal-Mart #2233",39.396,-77.4111
"Subway at 1046 W Patrick St,",39.4166,-77.4429
"Subway at 134 Walkers Village Way,",39.484,-77.3397
"Subway at 425 S. Jefferson Street, Unit 6, Prospect Plaza Shopping Center",39.4076,-77.4293
"Subway at 3510 Sugarloaf Parkway, Urbana Town Center",39.3307,-77.3611
"Subway at 12800 Frederick Rd, Ste 106",39.3033,-76.955
"Subway at 1881 Baltimore Pike, Wal-Mart #5469",39.7611,-76.9627
"Subway at 1055 Baltimore Street, #3",39.7789,-76.9623
"Subway at 1000 Carlisle St, Suite 15 & 16, Clearview Shopping Center",39.8175,-76.9951
"Subway at 495 Eisenhower Drive, Wal-Mart #1823",39.8238,-76.9753
"Subway at 1155 S Main St, Jiffy Mart",39.6066,-76.8502
"Subway at 2275 Hanover Pike,",39.6369,-76.8654
"Subway at 9901-C Liberty Road,",39.3814,-76.8242
"Subway at 5854 Ballenger Creek Pike, Ballenger Creek Plaza",39.3941,-77.4393
"Subway at 35A Camp Letterman Dr, Peebles Plaza",39.8436,-77.1997
"Subway at 731 Old Harrisburg Rd, Food Service Unit, HACC- Central PA Comm College",39.8399,-77.2237
"Subway at 12011 Snowden Farm Parkway, Clarksburg Village Center",39.2294,-77.2498
"Subway at 23237 Stringtown Road,",39.2379,-77.2762
"Subway at 11718 Reisterstown Rd, Franklin Square",39.4442,-76.8112
"Subway at 10995 Owings Mills Blvd, Suite 102",39.4264,-76.7795
"Subway at 400 Red Brook Blvd., Suite 001, Red Brook Corporate Center",39.4128,-76.8061
"Subway at 10209 Grand Central Ave., Suite 106, Owings Mills Metro Centre",39.4058,-76.781
"Subway at 1209 North Charles St., Unit C",39.3042,-76.6159
"Subway at 827 N Charles Street,",39.2995,-76.6156
"Subway at 1600 W. Mount Royal Avenue, Suite 2, Bolton North Apartments",39.3097,-76.6245
"Subway at 300 North Charles St,",39.2929,-76.6154
"Subway at 200 E Lexington, SWC of Court Square Building",39.2913,-76.6123
"Subway at 3881 Ten Oaks Road, Ten Oaks Center",39.2655,-76.9863
"Subway at 11085 Resort Road, Suite 401, Town Square at Turf Valley",39.3002,-76.9
"Subway at 220 W Baltimore Street,",39.2895,-76.6191
"Subway at 2725 Sisson St, Carroll Independent Fuel",39.3193,-76.6246
"Subway at 37 E 25th St,",39.3179,-76.6155
"Subway at 37 S. Charles Street, Suite 1, 30 Light Street Garage",39.288,-76.615
"Subway at 31 South Calvert Street,",39.2879,-76.612
"Subway at 37 E 25th St,",39.3179,-76.6155
"Subway at 3233 St Paul St,",39.328,-76.6158
"Subway at 3232 Greenmount Ave,",39.3281,-76.6095
"Subway at 423 E Baltimore Street,",39.2897,-76.6093
"Subway at 55 Market Place, The Shops at Harbor Park",39.2883,-76.6066
"Subway at 1950 N Broadway, District Court",39.3127,-76.5984
"Subway at 600 N Wolfe St, CMSC-B100, Johns Hopkins Hospital",39.2973,-76.5923
"Subway at 2051 E. Monument Street,",39.2987,-76.588
"Subway at 300 West Pratt Street, Ste 150",39.2865,-76.6197
"Subway at 22 S. Greene Street, UMMC",39.2882,-76.6244
"Subway at 632 S Broadway,",39.2837,-76.5936
"Subway at 200 N Highland Ave,",39.2953,-76.57
"Subway at 3232 Greenmount Ave,",39.3281,-76.6095
