latitude,longitude
40.78,-73.98
36.71,-82.79
41.800000000000004,-71.9
33.94,-87.84
42.46,-83.11
38.56,-121.41
33.04,-83.94
36.14,-85.63
39.18,-89.67
37.69,-97.27
40.01,-80.75
34.77,-92.36
40.76,-73.99
40.52,-111.94
28.46,-82.63
33.29,-111.84
41.910000000000004,-87.76
45.61,-122.68
41.54,-83.59
38.83,-104.7
27.810000000000002,-82.7
35.84,-101.97
37.67,-77.46000000000001
45.660000000000004,-89.38
42.51,-92.45
40.65,-75.49
35.230000000000004,-92.39
30.27,-91.99
37.34,-122.04
43.410000000000004,-85.8
33.88,-117.61
42.74,-73.92
38.43,-92.86
29.77,-95.18
30.86,-83.95
38.19,-85.52
42.34,-122.87
40.28,-79.39
39.12,-76.85000000000001
44.61,-86.10000000000001
34.68,-86.75
31.78,-106.46000000000001
39.29,-84.4
33.82,-84.35000000000001
32.09,-83.76
42.38,-82.97
26.17,-97.99000000000001
61.19,-149.88
37.72,-97.3
41.5,-81.54
31.37,-110.94
38.99,-76.93
37.11,-93.06
31.7,-83.25
29.14,-95.65
26.32,-80.11
42.95,-88.01
40.88,-79.95
32.29,-106.77
43.52,-84.12
33.71,-85.16
42.88,-88.34
43.86,-116.5
43.03,-76.19
40.0,-75.18
39.050000000000004,-82.63
39.050000000000004,-84.58
36.09,-79.83
37.82,-92.14
33.96,-118.27
26.64,-80.11
42.93,-78.73
36.14,-86.88
41.09,-112.0
42.76,-71.22
34.2,-77.89
38.82,-90.7
41.89,-87.61
41.31,-81.45
39.07,-84.7
35.22,-97.49000000000001
37.36,-78.83
27.96,-82.4
34.72,-86.58
43.57,-116.22
34.35,-119.07000000000001
35.050000000000004,-89.89
39.21,-96.3
39.82,-86.12
33.38,-111.8
26.54,-80.09
33.96,-98.51
34.51,-87.72
29.97,-95.53
35.7,-78.8
34.69,-118.17
38.34,-122.68
35.12,-80.86
33.2,-96.71000000000001
40.86,-73.54
39.800000000000004,-104.93
40.74,-74.17
42.34,-83.38
38.9,-77.02
41.0,-82.0
37.35,-76.74
39.42,-84.58
30.27,-87.69
38.93,-83.57000000000001
35.910000000000004,-79.06
32.75,-97.09
41.63,-93.74
43.61,-116.24000000000001
27.85,-97.63
39.95,-82.05
35.910000000000004,-81.53
30.52,-97.83
34.2,-118.45
31.93,-87.74
38.99,-84.4
39.54,-104.88
41.95,-71.07000000000001
42.82,-73.76
33.83,-118.3
35.87,-78.58
42.92,-78.75
39.67,-84.22
32.7,-96.83
41.94,-84.9
30.04,-95.35000000000001
34.11,-117.56
32.93,-83.73
38.78,-77.13
41.2,-81.44
35.03,-106.68
38.53,-89.12
35.24,-106.7
35.1,-89.84
40.68,-80.3
26.19,-98.21000000000001
30.080000000000002,-94.77
48.21,-101.31
37.54,-76.8
33.81,-86.82000000000001
44.910000000000004,-89.65
35.99,-96.02
42.230000000000004,-88.31
33.93,-118.15
39.65,-104.78
32.89,-117.13
34.95,-82.23
41.58,-87.46000000000001
41.15,-73.26
43.08,-75.65
34.96,-89.99
35.300000000000004,-94.39
33.25,-84.27
46.87,-68.0
28.76,-81.29
41.01,-81.61
43.92,-88.02
26.27,-80.28
40.39,-80.09
42.37,-71.04
43.61,-84.19
40.72,-73.94
40.06,-81.05
38.92,-90.15
45.1,-91.5
30.64,-81.46000000000001
34.24,-118.59
36.29,-95.32000000000001
40.75,-73.99
35.910000000000004,-88.75
34.660000000000004,-118.18
33.21,-84.06
33.4,-104.52
33.83,-117.84
41.730000000000004,-87.55
29.68,-95.64
38.68,-121.74000000000001
45.35,-122.65
29.93,-90.07000000000001
32.0,-106.61
43.42,-73.71000000000001
36.03,-83.87
38.25,-90.56
37.65,-97.33
40.33,-104.91
29.6,-98.42
39.95,-74.07000000000001
40.81,-96.72
36.82,-76.4
40.7,-73.81
43.410000000000004,-83.97
40.24,-74.28
55.35,-131.67000000000002
39.63,-84.2
40.37,-80.69
38.34,-75.60000000000001
26.2,-98.32000000000001
41.730000000000004,-87.8
28.05,-82.78
43.2,-86.2
42.24,-87.95
34.47,-117.34
35.04,-78.95
42.35,-71.06
42.25,-83.17
37.76,-77.47
42.480000000000004,-83.08
34.71,-112.0
38.58,-89.91
39.67,-86.37
36.160000000000004,-95.88
40.550000000000004,-75.59
35.94,-77.78
